token X1 Y1 X2 Y2 R G B "font name" label
MCF 450 204 510 228 0 0 0 BYSSBJ+CMR9 paragraph
WITH 520 204 593 228 0 0 0 BYSSBJ+CMR9 paragraph
SURGERY 605 204 729 228 0 0 0 BYSSBJ+CMR9 paragraph
FOR 741 204 795 228 0 0 0 BYSSBJ+CMR9 paragraph
LOW 807 204 868 228 0 0 0 BYSSBJ+CMR9 paragraph
ENTROPY 878 204 1009 228 0 0 0 BYSSBJ+CMR9 paragraph
HYPERSURFACES 1020 204 1247 228 0 0 0 BYSSBJ+CMR9 paragraph
22 1417 204 1443 228 0 0 0 BYSSBJ+CMR9 paragraph
− 805 279 831 336 0 0 0 SLFTJW+CMSY10 equation
− 885 279 912 336 0 0 0 SLFTJW+CMSY10 equation
∇e−|x−x0|2 617 301 753 358 0 0 0 BHEIRJ+CMSY6 equation
= 768 325 793 358 0 0 0 CGWQPD+CMR12 equation
2(x 831 303 878 336 0 0 0 CGWQPD+CMR12 equation
x0)e−|x−x0|2 919 301 1074 358 0 0 0 BHEIRJ+CMSY6 equation
(3.12) 1361 325 1445 358 0 0 0 CGWQPD+CMR12 equation
4r 698 334 719 349 0 0 0 ZVNZZB+CMR6 equation
4r 1021 334 1040 349 0 0 0 ZVNZZB+CMR6 equation
4r 868 347 899 380 0 0 0 CGWQPD+CMR12 equation
Since 304 418 377 451 0 0 0 CGWQPD+CMR12 paragraph
by 389 418 425 451 0 0 0 CGWQPD+CMR12 paragraph
lemma 436 418 530 451 0 0 0 CGWQPD+CMR12 paragraph
2.5 542 418 583 451 0 0 0 CGWQPD+CMR12 paragraph
the 595 418 640 451 0 0 0 CGWQPD+CMR12 paragraph
entropy 652 418 759 451 0 0 0 CGWQPD+CMR12 paragraph
for 771 418 810 451 0 0 0 CGWQPD+CMR12 paragraph
a 822 418 838 451 0 0 0 CGWQPD+CMR12 paragraph
compact 850 418 970 451 0 0 0 CGWQPD+CMR12 paragraph
hypersurface 982 418 1161 451 0 0 0 CGWQPD+CMR12 paragraph
will 1173 418 1224 451 0 0 0 CGWQPD+CMR12 paragraph
be 1235 418 1268 451 0 0 0 CGWQPD+CMR12 paragraph
attained 1280 418 1397 451 0 0 0 CGWQPD+CMR12 paragraph
by 1409 418 1443 451 0 0 0 CGWQPD+CMR12 paragraph
an 255 453 289 488 0 0 0 CGWQPD+CMR12 paragraph
F 300 455 323 488 0 0 0 UHNUPN+CMMI12 paragraph
functional 340 453 482 488 0 0 0 CGWQPD+CMR12 paragraph
centered 494 453 613 488 0 0 0 CGWQPD+CMR12 paragraph
in 627 453 654 488 0 0 0 CGWQPD+CMR12 paragraph
its 666 453 702 488 0 0 0 CGWQPD+CMR12 paragraph
convex 714 453 810 488 0 0 0 CGWQPD+CMR12 paragraph
hull, 824 453 885 488 0 0 0 CGWQPD+CMR12 paragraph
without 899 453 1009 488 0 0 0 CGWQPD+CMR12 paragraph
loss 1023 453 1074 488 0 0 0 CGWQPD+CMR12 paragraph
of 1088 453 1113 488 0 0 0 CGWQPD+CMR12 paragraph
generality 1127 453 1266 488 0 0 0 CGWQPD+CMR12 paragraph
x 1278 455 1297 488 0 0 0 UHNUPN+CMMI12 paragraph
is 1324 453 1344 488 0 0 0 CGWQPD+CMR12 paragraph
in 1358 453 1385 488 0 0 0 CGWQPD+CMR12 paragraph
the 1399 453 1443 488 0 0 0 CGWQPD+CMR12 paragraph
| 907 466 918 523 0 0 0 SLFTJW+CMSY10 paragraph
− 941 466 969 523 0 0 0 SLFTJW+CMSY10 paragraph
| 1006 466 1014 523 0 0 0 SLFTJW+CMSY10 paragraph
≤ 1025 466 1050 523 0 0 0 SLFTJW+CMSY10 paragraph
∞ 1130 466 1164 523 0 0 0 SLFTJW+CMSY10 paragraph
0 1297 468 1309 490 0 0 0 OXHALA+CMR8 paragraph
convex 255 490 350 523 0 0 0 CGWQPD+CMR12 paragraph
