token X1 Y1 X2 Y2 R G B "font name" label
13 1533 77 1561 105 0 0 0 FKFYJH+CMR10 paragraph
crystal 148 149 229 177 0 0 0 FKFYJH+CMR10 paragraph
without 239 149 334 177 0 0 0 FKFYJH+CMR10 paragraph
time-reversal 342 149 497 177 0 0 0 FKFYJH+CMR10 paragraph
symmetry. 507 149 633 177 0 0 0 FKFYJH+CMR10 paragraph
Once 646 149 707 177 0 0 0 FKFYJH+CMR10 paragraph
again, 717 149 788 177 0 0 0 FKFYJH+CMR10 paragraph
we 798 149 830 177 0 0 0 FKFYJH+CMR10 paragraph
ment 879 149 941 177 0 0 0 FKFYJH+CMR10 paragraph
the 949 149 989 177 0 0 0 FKFYJH+CMR10 paragraph
numerical 997 149 1114 177 0 0 0 FKFYJH+CMR10 paragraph
results 1124 149 1204 177 0 0 0 FKFYJH+CMR10 paragraph
of 1212 149 1233 177 0 0 0 FKFYJH+CMR10 paragraph
the 1243 149 1281 177 0 0 0 FKFYJH+CMR10 paragraph
preceding 1291 149 1405 177 0 0 0 FKFYJH+CMR10 paragraph
section 1415 149 1498 177 0 0 0 FKFYJH+CMR10 paragraph
with 1508 149 1561 177 0 0 0 FKFYJH+CMR10 paragraph
emphasize 148 180 272 208 0 0 0 FKFYJH+CMR10 paragraph
that 282 180 334 208 0 0 0 FKFYJH+CMR10 paragraph
this 344 180 388 208 0 0 0 FKFYJH+CMR10 paragraph
eﬀect 398 180 463 208 0 0 0 FKFYJH+CMR10 paragraph
would 473 180 544 208 0 0 0 FKFYJH+CMR10 paragraph
be 554 180 582 208 0 0 0 FKFYJH+CMR10 paragraph
absent 592 180 671 208 0 0 0 FKFYJH+CMR10 paragraph
in 681 180 704 208 0 0 0 FKFYJH+CMR10 paragraph
the 714 180 752 208 0 0 0 FKFYJH+CMR10 paragraph
linear 762 180 830 208 0 0 0 FKFYJH+CMR10 paragraph
a 879 180 894 208 0 0 0 FKFYJH+CMR10 paragraph
simpliﬁed 901 180 1017 208 0 0 0 FKFYJH+CMR10 paragraph
analytical 1023 180 1141 208 0 0 0 FKFYJH+CMR10 paragraph
solution 1147 180 1243 208 0 0 0 FKFYJH+CMR10 paragraph
of 1250 180 1273 208 0 0 0 FKFYJH+CMR10 paragraph
Eq. 1280 180 1321 208 0 0 0 FKFYJH+CMR10 paragraph
(40). 1328 180 1386 208 0 0 0 FKFYJH+CMR10 paragraph
Our 1397 180 1443 208 0 0 0 FKFYJH+CMR10 paragraph
approach 1452 180 1561 208 0 0 0 FKFYJH+CMR10 paragraph
approximation 148 212 324 240 0 0 0 FKFYJH+CMR10 paragraph
of 334 212 357 240 0 0 0 FKFYJH+CMR10 paragraph
the 367 212 405 240 0 0 0 FKFYJH+CMR10 paragraph
energy 415 212 494 240 0 0 0 FKFYJH+CMR10 paragraph
spectrum 504 212 616 240 0 0 0 FKFYJH+CMR10 paragraph
around 626 212 711 240 0 0 0 FKFYJH+CMR10 paragraph
the 721 212 759 240 0 0 0 FKFYJH+CMR10 paragraph
Weyl 769 212 830 240 0 0 0 FKFYJH+CMR10 paragraph
is 879 212 899 240 0 0 0 FKFYJH+CMR10 paragraph
partly 909 212 982 240 0 0 0 FKFYJH+CMR10 paragraph
related 992 212 1075 240 0 0 0 FKFYJH+CMR10 paragraph
to 1085 212 1109 240 0 0 0 FKFYJH+CMR10 paragraph
that 1119 212 1171 240 0 0 0 FKFYJH+CMR10 paragraph
of 1179 212 1202 240 0 0 0 FKFYJH+CMR10 paragraph
Ref. 1212 212 1260 240 0 0 0 FKFYJH+CMR10 paragraph
[33], 1270 212 1321 240 0 0 0 FKFYJH+CMR10 paragraph
which 1331 212 1402 240 0 0 0 FKFYJH+CMR10 paragraph
studied 1410 212 1500 240 0 0 0 FKFYJH+CMR10 paragraph
two- 1510 212 1561 240 0 0 0 FKFYJH+CMR10 paragraph
nodes. 148 245 224 271 0 0 0 FKFYJH+CMR10 paragraph
electron 879 245 975 271 0 0 0 FKFYJH+CMR10 paragraph
bound 985 245 1063 271 0 0 0 FKFYJH+CMR10 paragraph
states. 1073 245 1151 271 0 0 0 FKFYJH+CMR10 paragraph
The 1167 245 1215 271 0 0 0 FKFYJH+CMR10 paragraph
main 1225 245 1285 271 0 0 0 FKFYJH+CMR10 paragraph
simpliﬁcation 1296 245 1458 271 0 0 0 FKFYJH+CMR10 paragraph
consists 1468 245 1561 271 0 0 0 FKFYJH+CMR10 paragraph
E. 168 276 196 301 0 0 0 CJGLBO+CMBX9 section
Reversal 226 276 335 301 0 0 0 CJGLBO+CMBX9 section
of 345 276 370 301 0 0 0 CJGLBO+CMBX9 section
the 380 276 421 301 0 0 0 CJGLBO+CMBX9 section
direction 431 276 545 301 0 0 0 CJGLBO+CMBX9 section
of 555 276 578 301 0 0 0 CJGLBO+CMBX9 section
light 588 276 646 301 0 0 0 CJGLBO+CMBX9 section
propagation 656 276 810 301 0 0 0 CJGLBO+CMBX9 section
of 879 276 903 304 0 0 0 FKFYJH+CMR10 paragraph
replacing 909 276 1018 304 0 0 0 FKFYJH+CMR10 paragraph
the 1027 276 1065 304 0 0 0 FKFYJH+CMR10 paragraph
screened 1073 276 1174 304 0 0 0 FKFYJH+CMR10 paragraph
Coulomb 1182 276 1291 304 0 0 0 FKFYJH+CMR10 paragraph
potential 1298 276 1405 304 0 0 0 FKFYJH+CMR10 paragraph
in 1414 276 1437 304 0 0 0 FKFYJH+CMR10 paragraph
real 1443 276 1488 304 0 0 0 FKFYJH+CMR10 paragraph
space 1496 276 1561 304 0 0 0 FKFYJH+CMR10 paragraph
by 879 308 909 336 0 0 0 FKFYJH+CMR10 paragraph
a 916 308 929 336 0 0 0 FKFYJH+CMR10 paragraph
delta 936 308 997 336 0 0 0 FKFYJH+CMR10 paragraph
function 1003 308 1103 336 0 0 0 FKFYJH+CMR10 paragraph
potential. 1109 308 1223 336 0 0 0 FKFYJH+CMR10 paragraph
This 1235 308 1290 336 0 0 0 FKFYJH+CMR10 paragraph
approximation 1296 308 1472 336 0 0 0 FKFYJH+CMR10 paragraph
is 1478 308 1496 336 0 0 0 FKFYJH+CMR10 paragraph
valid 1503 308 1561 336 0 0 0 FKFYJH+CMR10 paragraph
Thus 176 346 238 371 0 0 0 FKFYJH+CMR10 paragraph
far, 248 346 289 371 0 0 0 FKFYJH+CMR10 paragraph
we 299 346 330 371 0 0 0 FKFYJH+CMR10 paragraph
have 340 346 395 371 0 0 0 FKFYJH+CMR10 paragraph
assumed 405 346 507 371 0 0 0 FKFYJH+CMR10 paragraph
that 517 346 568 371 0 0 0 FKFYJH+CMR10 paragraph
the 578 346 616 371 0 0 0 FKFYJH+CMR10 paragraph
direction 626 346 732 371 0 0 0 FKFYJH+CMR10 paragraph
of 744 346 765 371 0 0 0 FKFYJH+CMR10 paragraph
light 775 346 830 371 0 0 0 FKFYJH+CMR10 paragraph
at 879 339 904 367 0 0 0 FKFYJH+CMR10 paragraph
length 913 339 989 367 0 0 0 FKFYJH+CMR10 paragraph
scales 997 339 1065 367 0 0 0 FKFYJH+CMR10 paragraph
that 1073 339 1124 367 0 0 0 FKFYJH+CMR10 paragraph
far 1132 339 1166 367 0 0 0 FKFYJH+CMR10 paragraph
exceed 1174 339 1252 367 0 0 0 FKFYJH+CMR10 paragraph
the 1260 339 1300 367 0 0 0 FKFYJH+CMR10 paragraph
screening 1308 339 1419 367 0 0 0 FKFYJH+CMR10 paragraph
length, 1427 339 1510 367 0 0 0 FKFYJH+CMR10 paragraph
i.e., 1518 339 1561 367 0 0 0 FKFYJH+CMR10 paragraph
propagation 148 376 294 404 0 0 0 FKFYJH+CMR10 paragraph
is 304 376 324 404 0 0 0 FKFYJH+CMR10 paragraph
along 334 376 398 404 0 0 0 FKFYJH+CMR10 paragraph
the 410 376 448 404 0 0 0 FKFYJH+CMR10 paragraph
positive 459 376 552 404 0 0 0 FKFYJH+CMR10 paragraph
z 564 376 575 404 0 0 0 OVUFCJ+CMMI10 paragraph
direction. 588 376 702 404 0 0 0 FKFYJH+CMR10 paragraph
If 719 376 737 404 0 0 0 FKFYJH+CMR10 paragraph
the 749 376 787 404 0 0 0 FKFYJH+CMR10 paragraph
di- 798 376 830 404 0 0 0 FKFYJH+CMR10 paragraph
for 879 371 913 399 0 0 0 FKFYJH+CMR10 paragraph
momenta 926 371 1037 399 0 0 0 FKFYJH+CMR10 paragraph
that 1050 371 1099 399 0 0 0 FKFYJH+CMR10 paragraph
are 1113 371 1149 399 0 0 0 FKFYJH+CMR10 paragraph
small 1162 371 1225 399 0 0 0 FKFYJH+CMR10 paragraph
compared 1238 371 1354 399 0 0 0 FKFYJH+CMR10 paragraph
to 1367 371 1392 399 0 0 0 FKFYJH+CMR10 paragraph
the 1404 371 1442 399 0 0 0 FKFYJH+CMR10 paragraph
Thomas- 1455 371 1561 399 0 0 0 FKFYJH+CMR10 paragraph
rection 148 409 233 437 0 0 0 FKFYJH+CMR10 paragraph
of 241 409 264 437 0 0 0 FKFYJH+CMR10 paragraph
propagation 274 409 418 437 0 0 0 FKFYJH+CMR10 paragraph
is 428 409 448 437 0 0 0 FKFYJH+CMR10 paragraph
reversed, 458 409 564 437 0 0 0 FKFYJH+CMR10 paragraph
the 573 409 611 437 0 0 0 FKFYJH+CMR10 paragraph
roles 621 409 678 437 0 0 0 FKFYJH+CMR10 paragraph
of 688 409 709 437 0 0 0 FKFYJH+CMR10 paragraph
LCP 719 409 775 437 0 0 0 FKFYJH+CMR10 paragraph
and 785 409 830 437 0 0 0 FKFYJH+CMR10 paragraph
Fermi 879 404 949 432 0 0 0 FKFYJH+CMR10 paragraph
screening 960 404 1071 432 0 0 0 FKFYJH+CMR10 paragraph
wave 1081 404 1139 432 0 0 0 FKFYJH+CMR10 paragraph
vector 1149 404 1223 432 0 0 0 FKFYJH+CMR10 paragraph
ks. 1233 404 1266 435 0 0 0 OVUFCJ+CMMI10 paragraph
If 1281 404 1301 432 0 0 0 FKFYJH+CMR10 paragraph
ks 1311 404 1336 435 0 0 0 OVUFCJ+CMMI10 paragraph
is 1348 404 1366 432 0 0 0 FKFYJH+CMR10 paragraph
large 1376 404 1434 432 0 0 0 FKFYJH+CMR10 paragraph
compared 1443 404 1561 432 0 0 0 FKFYJH+CMR10 paragraph
RCP 148 439 208 467 0 0 0 FKFYJH+CMR10 paragraph
are 216 439 253 467 0 0 0 FKFYJH+CMR10 paragraph
exchanged32 261 437 408 467 0 0 0 FKFYJH+CMR10 paragraph
and 418 439 463 467 0 0 0 FKFYJH+CMR10 paragraph
consequently 471 439 625 467 0 0 0 FKFYJH+CMR10 paragraph
the 635 439 673 467 0 0 0 FKFYJH+CMR10 paragraph
valley 681 439 750 467 0 0 0 FKFYJH+CMR10 paragraph
polar- 759 439 830 467 0 0 0 FKFYJH+CMR10 paragraph
to 879 435 904 463 0 0 0 FKFYJH+CMR10 paragraph
the 916 435 956 463 0 0 0 FKFYJH+CMR10 paragraph
momentum 967 435 1103 463 0 0 0 FKFYJH+CMR10 paragraph
cutoﬀ 1116 435 1184 463 0 0 0 FKFYJH+CMR10 paragraph
of 1195 435 1218 463 0 0 0 FKFYJH+CMR10 paragraph
the 1230 435 1268 463 0 0 0 FKFYJH+CMR10 paragraph
